time	temp
2016-08-03 07:00:00	28.6
2016-08-03 07:00:01	28.6
2016-08-03 07:00:02	28.6
2016-08-03 07:00:03	28.7
2016-08-03 07:00:04	28.6
2016-08-03 07:00:05	28.6
2016-08-03 07:00:06	28.6
2016-08-03 07:00:07	28.6
2016-08-03 07:00:08	28.6
2016-08-03 07:00:09	28.6
2016-08-03 07:00:10	28.6
2016-08-03 07:00:11	28.6
2016-08-03 07:00:12	28.6
2016-08-03 07:00:13	28.6
2016-08-03 07:00:14	28.6
2016-08-03 07:00:15	28.6
2016-08-03 07:00:16	28.6
2016-08-03 07:00:17	28.6
2016-08-03 07:00:18	28.6
2016-08-03 07:00:19	28.6
2016-08-03 07:00:20	28.6
2016-08-03 07:00:21	28.6
2016-08-03 07:00:22	28.6
2016-08-03 07:00:23	28.5
2016-08-03 07:00:24	28.6
2016-08-03 07:00:25	28.6
2016-08-03 07:00:26	28.6
2016-08-03 07:00:27	28.6
2016-08-03 07:00:28	28.6
2016-08-03 07:00:29	28.6
2016-08-03 07:00:30	28.6
2016-08-03 07:00:31	28.6
2016-08-03 07:00:32	28.6
2016-08-03 07:00:33	28.6
2016-08-03 07:00:34	28.6
2016-08-03 07:00:35	28.6
2016-08-03 07:00:36	28.7
2016-08-03 07:00:37	28.6
2016-08-03 07:00:38	28.6
2016-08-03 07:00:39	28.6
2016-08-03 07:00:40	28.6
2016-08-03 07:00:41	28.6
2016-08-03 07:00:42	28.6
2016-08-03 07:00:43	28.6
2016-08-03 07:00:44	28.6
2016-08-03 07:00:45	28.5
2016-08-03 07:00:46	28.6
2016-08-03 07:00:47	28.5
2016-08-03 07:00:48	28.6
2016-08-03 07:00:49	28.6
2016-08-03 07:00:50	28.6
2016-08-03 07:00:51	28.6
2016-08-03 07:00:52	28.5
2016-08-03 07:00:53	28.5
2016-08-03 07:00:54	28.5
2016-08-03 07:00:55	28.5
2016-08-03 07:00:56	28.6
2016-08-03 07:00:57	28.5
2016-08-03 07:00:58	28.6
2016-08-03 07:00:59	28.6
2016-08-03 07:01:00	28.5
2016-08-03 07:01:01	28.6
2016-08-03 07:01:02	28.5
2016-08-03 07:01:03	28.6
2016-08-03 07:01:04	28.6
2016-08-03 07:01:05	28.6
2016-08-03 07:01:06	28.6
2016-08-03 07:01:07	28.6
2016-08-03 07:01:08	28.6
2016-08-03 07:01:09	28.6
2016-08-03 07:01:10	28.5
2016-08-03 07:01:11	28.5
2016-08-03 07:01:12	28.6
2016-08-03 07:01:13	28.6
2016-08-03 07:01:14	28.6
2016-08-03 07:01:15	28.6
2016-08-03 07:01:16	28.6
2016-08-03 07:01:17	28.5
2016-08-03 07:01:18	28.5
2016-08-03 07:01:19	28.5
2016-08-03 07:01:20	28.5
2016-08-03 07:01:21	28.5
2016-08-03 07:01:22	28.5
2016-08-03 07:01:23	28.5
2016-08-03 07:01:24	28.5
2016-08-03 07:01:25	28.5
2016-08-03 07:01:26	28.5
2016-08-03 07:01:27	28.5
2016-08-03 07:01:28	28.5
2016-08-03 07:01:29	28.5
2016-08-03 07:01:30	28.5
2016-08-03 07:01:31	28.5
2016-08-03 07:01:32	28.4
2016-08-03 07:01:33	28.4
2016-08-03 07:01:34	28.5
2016-08-03 07:01:35	28.5
2016-08-03 07:01:36	28.5
2016-08-03 07:01:37	28.5
2016-08-03 07:01:38	28.5
2016-08-03 07:01:39	28.4
2016-08-03 07:01:40	28.4
2016-08-03 07:01:41	28.4
2016-08-03 07:01:42	28.4
2016-08-03 07:01:43	28.4
2016-08-03 07:01:44	28.5
2016-08-03 07:01:45	28.5
2016-08-03 07:01:46	28.5
2016-08-03 07:01:47	28.5
2016-08-03 07:01:48	28.4
2016-08-03 07:01:49	28.5
2016-08-03 07:01:50	28.5
2016-08-03 07:01:51	28.5
2016-08-03 07:01:52	28.4
2016-08-03 07:01:53	28.5
2016-08-03 07:01:54	28.5
2016-08-03 07:01:55	28.5
2016-08-03 07:01:56	28.4
2016-08-03 07:01:57	28.4
2016-08-03 07:01:58	28.5
2016-08-03 07:01:59	28.4
2016-08-03 07:02:00	28.5
2016-08-03 07:02:01	28.5
2016-08-03 07:02:02	28.5
2016-08-03 07:02:03	28.5
2016-08-03 07:02:04	28.4
2016-08-03 07:02:05	28.4
2016-08-03 07:02:06	28.4
2016-08-03 07:02:07	28.4
2016-08-03 07:02:08	28.5
2016-08-03 07:02:09	28.5
2016-08-03 07:02:10	28.4
2016-08-03 07:02:11	28.4
2016-08-03 07:02:12	28.4
2016-08-03 07:02:13	28.4
2016-08-03 07:02:14	28.4
2016-08-03 07:02:15	28.5
2016-08-03 07:02:16	28.5
2016-08-03 07:02:17	28.5
2016-08-03 07:02:18	28.5
2016-08-03 07:02:19	28.5
2016-08-03 07:02:20	28.5
2016-08-03 07:02:21	28.4
2016-08-03 07:02:22	28.5
2016-08-03 07:02:23	28.4
2016-08-03 07:02:24	28.5
2016-08-03 07:02:25	28.5
2016-08-03 07:02:26	28.5
2016-08-03 07:02:27	28.5
2016-08-03 07:02:28	28.5
2016-08-03 07:02:29	28.5
2016-08-03 07:02:30	28.4
2016-08-03 07:02:31	28.5
2016-08-03 07:02:32	28.5
2016-08-03 07:02:33	28.5
2016-08-03 07:02:34	28.5
2016-08-03 07:02:35	28.5
2016-08-03 07:02:36	28.4
2016-08-03 07:02:37	28.4
2016-08-03 07:02:38	28.4
2016-08-03 07:02:39	28.5
2016-08-03 07:02:40	28.5
2016-08-03 07:02:41	28.5
2016-08-03 07:02:42	28.5
2016-08-03 07:02:43	28.4
2016-08-03 07:02:44	28.4
2016-08-03 07:02:45	28.4
2016-08-03 07:02:46	28.4
2016-08-03 07:02:47	28.4
2016-08-03 07:02:48	28.5
2016-08-03 07:02:49	28.4
2016-08-03 07:02:50	28.5
2016-08-03 07:02:51	28.4
2016-08-03 07:02:52	28.4
2016-08-03 07:02:53	28.4
2016-08-03 07:02:54	28.5
2016-08-03 07:02:55	28.5
2016-08-03 07:02:56	28.5
2016-08-03 07:02:57	28.5
